epoch,gen_loss,disc_loss
337,[0.55216694],1.6522782
338,[0.5508358],1.6509421
339,[0.549333],1.6496096
340,[0.5477157],1.6482372
341,[0.54609954],1.6468742
342,[0.5445964],1.6455805
343,[0.54329664],1.6440876
344,[0.54206955],1.6429802
345,[0.54077965],1.6413786
346,[0.53931034],1.640218
347,[0.5378027],1.6387541
348,[0.5363976],1.6374507
349,[0.53512764],1.6361802
350,[0.53374654],1.6347117
351,[0.53214705],1.6335102
352,[0.5305912],1.6319793
353,[0.52919817],1.6307344
354,[0.52796113],1.629344
355,[0.5266813],1.628047
356,[0.52521867],1.6266639
357,[0.52372074],1.6253119
358,[0.52235097],1.6239429
359,[0.5211474],1.6226041
360,[0.5200472],1.6212792
361,[0.5188772],1.6198986
362,[0.51761353],1.6186262
363,[0.51624966],1.617138
364,[0.515014],1.6159182
365,[0.5139049],1.6144929
366,[0.51278585],1.6132066
367,[0.5114529],1.611846
368,[0.50997454],1.610338
369,[0.50857246],1.6091125
370,[0.5073613],1.6075175
371,[0.50619334],1.6063442
372,[0.5049235],1.6047354
373,[0.5035456],1.6034386
374,[0.50224596],1.6019537
375,[0.50114405],1.6005785
376,[0.50008315],1.5993071
377,[0.49890688],1.5978053
378,[0.49754256],1.5965209
379,[0.49621433],1.5950694
380,[0.49498922],1.5936905
381,[0.49394166],1.5923423
382,[0.49299145],1.5909507
383,[0.4919599],1.5896089
384,[0.4907415],1.5882859
385,[0.4894737],1.5867275
386,[0.4883854],1.5856024
387,[0.4873918],1.5839431
388,[0.4863007],1.5829229
389,[0.48505917],1.5812048
390,[0.48376158],1.5800316
391,[0.48256823],1.5785697
392,[0.48153558],1.5771625
393,[0.48064366],1.5759959
394,[0.4797392],1.5744143
395,[0.47886533],1.5733179
396,[0.477953],1.5717688
397,[0.47733513],1.5704627
398,[0.4765309],1.5692776
399,[0.47551584],1.5676603
400,[0.474087],1.5664909
401,[0.47273624],1.5650829
402,[0.47120392],1.5636361
403,[0.4698919],1.5623373
404,[0.46904606],1.5608658
405,[0.46826398],1.5596004
406,[0.46725672],1.5582888
407,[0.4659458],1.5568542
408,[0.4646998],1.5556328
409,[0.46375018],1.5541198
410,[0.4629461],1.5529742
411,[0.4620868],1.5516064
412,[0.46099803],1.5503628
413,[0.45985776],1.5489151
414,[0.4588126],1.5476913
415,[0.45794696],1.5463157
416,[0.45704955],1.5450385
417,[0.45597],1.5435964
418,[0.45487946],1.5423515
419,[0.4538753],1.540869
420,[0.45296305],1.5397418
421,[0.4520392],1.5382807
422,[0.4510926],1.5370877
423,[0.45019522],1.5356705
424,[0.449278],1.5344152
425,[0.44833067],1.5330145
426,[0.44729927],1.5317844
427,[0.4463041],1.5303156
428,[0.44532824],1.5292313
429,[0.44445372],1.5276976
430,[0.44366372],1.5266207
431,[0.44291472],1.5251485
432,[0.44204995],1.5239797
433,[0.44102186],1.5226347
434,[0.43997926],1.5212753
435,[0.43910813],1.5199889
436,[0.43828884],1.5187051
437,[0.43741903],1.5173978
438,[0.4364413],1.5161792
439,[0.4355654],1.5147009
440,[0.43481022],1.5138197
441,[0.4340127],1.5121071
442,[0.43299255],1.5113015
443,[0.4319062],1.5095818
444,[0.43095472],1.5085086
445,[0.43018922],1.5072136
446,[0.42957714],1.5059204
447,[0.42900264],1.5048387
448,[0.42824894],1.5034454
449,[0.4273096],1.5022125
450,[0.42638558],1.5010166
451,[0.4254758],1.4995804
452,[0.42461783],1.4985847
453,[0.42368487],1.4972034
454,[0.42289972],1.4959037
455,[0.4221105],1.4949758
456,[0.4212228],1.4932263
457,[0.4202765],1.4924369
458,[0.41938487],1.4907777
459,[0.41863722],1.4897077
460,[0.41794783],1.488538
