epoch,gen_loss,disc_loss
363,[5.8635774],1.0858493
364,[5.850528],1.085091
365,[5.837521],1.0843409
366,[5.824547],1.0835981
367,[5.811612],1.082862
368,[5.7987113],1.0821321
369,[5.7858405],1.0814109
370,[5.7729964],1.0806992
371,[5.76019],1.0799987
372,[5.747416],1.0793073
373,[5.7346764],1.0786235
374,[5.7219634],1.0779486
375,[5.709282],1.077282
376,[5.6966352],1.076625
377,[5.6840234],1.0759754
378,[5.671447],1.0753338
379,[5.6589136],1.0746996
380,[5.64641],1.0740731
381,[5.633932],1.0734524
382,[5.621487],1.0728369
383,[5.609078],1.0722308
384,[5.5966954],1.0716314
385,[5.5843496],1.0710384
386,[5.5720325],1.070452
387,[5.5597506],1.0698726
388,[5.5475016],1.0693014
389,[5.53529],1.0687363
390,[5.5231204],1.0681784
391,[5.5109825],1.0676255
392,[5.4988694],1.0670776
393,[5.4867806],1.066534
394,[5.47473],1.0659974
395,[5.4627156],1.0654675
396,[5.4507456],1.0649432
397,[5.438805],1.0644261
398,[5.4268966],1.0639141
399,[5.4150233],1.0634091
400,[5.4031878],1.0629098
401,[5.3913856],1.0624166
402,[5.3796077],1.0619297
403,[5.3678575],1.0614502
404,[5.356143],1.0609765
405,[5.344462],1.0605073
406,[5.33281],1.0600433
407,[5.3211884],1.0595846
408,[5.3095965],1.0591297
409,[5.2980313],1.0586789
410,[5.286499],1.0582323
411,[5.274998],1.0577912
412,[5.2635307],1.0573554
413,[5.2520895],1.0569253
414,[5.240681],1.0565012
415,[5.229311],1.0560807
416,[5.2179728],1.0556641
417,[5.2066727],1.0552521
418,[5.1954117],1.0548449
419,[5.184188],1.0544412
420,[5.1729913],1.054042
421,[5.161825],1.0536468
422,[5.1506963],1.053256
423,[5.1395974],1.0528686
424,[5.1285253],1.0524858
425,[5.1174917],1.0521072
426,[5.106492],1.0517323
427,[5.095522],1.0513604
428,[5.08459],1.0509913
429,[5.0736895],1.050626
430,[5.062815],1.0502658
431,[5.0519657],1.0499104
432,[5.041141],1.049561
433,[5.030338],1.0492164
434,[5.0195656],1.0488763
435,[5.0088205],1.0485389
436,[4.9981046],1.0482049
437,[4.98742],1.0478749
438,[4.9767723],1.04755
439,[4.966151],1.0472296
440,[4.955564],1.0469133
441,[4.9450083],1.0466005
442,[4.934489],1.0462915
443,[4.9240007],1.045985
444,[4.913542],1.045681
445,[4.9031124],1.0453796
446,[4.892713],1.0450815
447,[4.8823404],1.0447867
448,[4.8719945],1.0444946
449,[4.8616734],1.0442045
450,[4.851382],1.0439174
451,[4.8411126],1.043633
452,[4.8308673],1.0433514
453,[4.820649],1.0430732
454,[4.810458],1.0427973
455,[4.8002963],1.0425241
456,[4.790156],1.0422537
457,[4.780038],1.0419858
458,[4.769945],1.0417209
459,[4.7598763],1.0414582
460,[4.7498345],1.0411984
461,[4.7398257],1.0409403
462,[4.7298474],1.0406842
463,[4.719899],1.0404308
464,[4.7099776],1.0401793
465,[4.7000785],1.0399302
466,[4.690201],1.0396831
467,[4.680348],1.039438
468,[4.6705236],1.039195
469,[4.6607203],1.0389538
470,[4.6509395],1.0387139
471,[4.6411767],1.0384765
472,[4.6314363],1.0382404
473,[4.6217165],1.0380063
474,[4.6120157],1.0377748
475,[4.602341],1.0375454
476,[4.592698],1.0373183
477,[4.583081],1.0370932
478,[4.5734825],1.0368694
479,[4.563911],1.0366474
480,[4.5543675],1.0364275
481,[4.544852],1.0362093
482,[4.535357],1.0359921
483,[4.525883],1.0357767
484,[4.516433],1.035562
485,[4.5070033],1.0353491
486,[4.4975967],1.0351385
487,[4.488215],1.0349296
488,[4.4788527],1.0347219
489,[4.4695144],1.0345154
490,[4.460195],1.0343101
491,[4.450902],1.034107
492,[4.4416285],1.0339057
493,[4.4323835],1.0337074
494,[4.423166],1.0335115
495,[4.4139705],1.0333176
496,[4.4047937],1.0331256
497,[4.39564],1.0329351
498,[4.3865027],1.0327461
499,[4.3773875],1.0325577
500,[4.368298],1.0323708
501,[4.359238],1.0321852
502,[4.3502083],1.0320008
503,[4.3412004],1.0318173
504,[4.332219],1.0316348
505,[4.3232665],1.0314543
506,[4.3143377],1.0312762
507,[4.3054333],1.0310998
508,[4.29655],1.0309246
509,[4.2876887],1.0307494
510,[4.2788467],1.0305765
511,[4.2700267],1.030406
512,[4.261236],1.0302374
513,[4.2524643],1.0300701
514,[4.243717],1.0299044
515,[4.234994],1.0297406
516,[4.2262964],1.0295788
517,[4.2176256],1.0294182
518,[4.2089767],1.0292585
519,[4.2003527],1.0290996
520,[4.1917524],1.0289425
521,[4.183176],1.0287863
522,[4.1746264],1.0286312
523,[4.166102],1.0284774
524,[4.1576004],1.0283246
525,[4.149125],1.0281723
526,[4.1406717],1.0280215
527,[4.132249],1.0278714
528,[4.1238585],1.0277219
529,[4.115494],1.0275731
530,[4.1071587],1.0274256
531,[4.098847],1.027279
532,[4.0905604],1.0271332
533,[4.0822988],1.0269884
534,[4.0740647],1.026845
535,[4.0658607],1.0267034
536,[4.0576806],1.0265629
537,[4.0495267],1.0264236
538,[4.041402],1.0262845
539,[4.033305],1.0261456
540,[4.025236],1.0260074
541,[4.0171957],1.0258706
542,[4.009182],1.0257351
543,[4.001196],1.0256011
544,[3.9932332],1.0254683
545,[3.9852915],1.0253363
546,[3.9773772],1.0252042
547,[3.9694853],1.0250723
548,[3.9616208],1.0249414
549,[3.9537785],1.024812
550,[3.9459567],1.0246842
551,[3.9381573],1.0245577
552,[3.9303818],1.0244318
553,[3.9226317],1.0243065
554,[3.9149044],1.0241826
555,[3.9071987],1.0240598
556,[3.8995185],1.0239377
557,[3.8918643],1.0238161
558,[3.8842385],1.023695
559,[3.876641],1.0235748
560,[3.8690674],1.0234561
561,[3.8615236],1.0233382
562,[3.854004],1.0232205
563,[3.8465114],1.023104
564,[3.8390458],1.0229881
565,[3.831607],1.0228729
566,[3.8241942],1.0227586
567,[3.8168077],1.0226455
568,[3.8094447],1.0225333
569,[3.802106],1.0224214
570,[3.7947903],1.0223097
571,[3.7874954],1.0221984
572,[3.7802246],1.022088
573,[3.772982],1.0219786
574,[3.7657635],1.0218701
575,[3.7585697],1.0217624
576,[3.7514021],1.0216553
577,[3.7442596],1.0215492
578,[3.7371423],1.0214441
579,[3.730046],1.0213404
580,[3.722976],1.0212374
581,[3.7159257],1.0211351
582,[3.708899],1.0210336
583,[3.7018929],1.0209336
584,[3.6949081],1.0208348
585,[3.6879482],1.0207365
586,[3.681014],1.0206385
587,[3.674105],1.0205408
588,[3.66722],1.0204443
589,[3.6603565],1.0203478
590,[3.653515],1.0202515
591,[3.6466992],1.0201554
592,[3.6399078],1.0200596
593,[3.6331406],1.0199645
